date,location,total_vaccinations,total_distributed,people_fully_vaccinated,daily_vaccinations
2021-01-12,Alabama,78134,377025,7270,
2021-01-13,Alabama,84040,378975,9245,5906
2021-01-14,Alabama,92300,435350,,7083
2021-01-15,Alabama,100567,444650,13488,7478
2021-01-16,Alabama,,,,7498
2021-01-17,Alabama,,,,7509
2021-01-18,Alabama,,,,7517
2021-01-19,Alabama,130795,444650,16346,7523
2021-01-20,Alabama,139200,483275,17956,7880
2021-01-21,Alabama,165919,493125,21345,10517
2021-01-22,Alabama,199314,519525,24840,14107
2021-01-23,Alabama,221540,521225,27422,16202
2021-01-24,Alabama,243737,521225,29736,18294
2021-01-25,Alabama,250612,521225,29978,18196
2021-01-26,Alabama,254959,569000,30933,17738
2021-01-27,Alabama,266444,634000,33595,18178
2021-01-28,Alabama,278993,655275,37431,16153
2021-01-29,Alabama,300915,659400,44073,14514
2021-01-30,Alabama,342436,659400,53742,17271
2021-01-31,Alabama,353974,659400,55331,15748
2021-02-01,Alabama,358280,659400,56308,15381
2021-02-02,Alabama,371882,680550,58825,16703
2021-02-03,Alabama,388339,765150,62990,17414
2021-02-04,Alabama,408428,799675,69155,18491
2021-02-05,Alabama,430597,799875,76603,18526
2021-02-06,Alabama,455173,804100,84278,16105
2021-02-07,Alabama,462332,804100,86141,15480
2021-02-08,Alabama,467636,804100,88453,15622
2021-02-09,Alabama,490969,823600,95033,17012
2021-02-10,Alabama,515802,861175,102520,18209
2021-02-11,Alabama,543237,911875,111036,19258
2021-02-12,Alabama,571115,936200,122019,20074
2021-02-13,Alabama,601159,963600,133029,20855
2021-02-14,Alabama,612254,965550,137032,21417
2021-02-15,Alabama,,,,22405
2021-02-16,Alabama,636682,1015775,149288,20816
2021-02-17,Alabama,650020,1032175,154341,19174
2021-02-18,Alabama,672038,1032175,165104,18400
2021-02-19,Alabama,739132,1077600,192304,24002
2021-02-20,Alabama,776936,1078800,214512,25111
2021-02-21,Alabama,788613,1082100,219639,25194
2021-02-22,Alabama,793614,1082100,228101,24164
2021-02-23,Alabama,815108,1084440,239425,25489
2021-02-24,Alabama,839703,1138650,253615,27098
2021-02-25,Alabama,864757,1170120,268465,27531
2021-02-26,Alabama,893859,1380380,286095,22104
2021-02-27,Alabama,931090,1402180,307868,22022
2021-02-28,Alabama,942502,1402280,313290,21984
2021-03-01,Alabama,948393,1402280,316073,22111
2021-03-02,Alabama,972161,1461320,330046,22436
2021-03-03,Alabama,1000031,1469100,346841,22904
2021-03-04,Alabama,1032171,1530470,365456,23916
2021-03-05,Alabama,1064578,1556460,383078,24388
2021-03-06,Alabama,1099697,1628350,402061,24087
2021-03-07,Alabama,1110132,1628350,406723,23947
2021-03-08,Alabama,1116676,1628350,409937,24040
2021-03-09,Alabama,1140984,1689050,420083,24118
2021-03-10,Alabama,1173820,1775660,435018,24827
2021-03-11,Alabama,1209802,1816230,452746,25376
2021-03-12,Alabama,1249205,1838400,472325,26375
2021-03-13,Alabama,1288242,1918560,492755,26935
2021-03-14,Alabama,1298612,1918560,497653,26926
2021-03-15,Alabama,1306419,1918560,501344,27106
2021-03-16,Alabama,1332298,2004160,511869,27331
2021-03-17,Alabama,1363987,2080870,523649,27167
2021-03-18,Alabama,1390066,2118650,533375,25752
2021-03-19,Alabama,1426696,2141210,547257,25356
2021-03-20,Alabama,1460782,2177880,561254,24649
2021-03-21,Alabama,1472666,2177880,566632,24865
2021-03-22,Alabama,1479271,2177880,569127,24693
2021-03-23,Alabama,1509445,2275030,579598,25307
2021-03-24,Alabama,1542416,2403720,589979,25490
2021-03-25,Alabama,1579091,2459980,600666,27004
2021-03-26,Alabama,1611404,2497410,611694,26387
2021-03-27,Alabama,1645858,2535880,623385,26439
2021-03-28,Alabama,1659102,2537050,628500,26634
2021-03-29,Alabama,1666585,2537050,631388,26759
2021-03-30,Alabama,1697641,2722700,643450,26885
2021-03-31,Alabama,1728736,2796630,656899,26617
2021-04-01,Alabama,1771979,2839540,673773,27555
2021-04-02,Alabama,1813462,2872410,691082,28865
2021-04-03,Alabama,1847243,2891780,705197,28769
2021-04-04,Alabama,1858833,2892950,709849,28533
2021-04-05,Alabama,1864857,2892950,711596,28325
